D_num,turns,utterances,prev_uttrs,last,response
D_scene8,8,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情	把马克思有关共产主义的思想传播,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情,把马克思有关共产主义的思想传播,对呀，上哪儿找这么好的哥们儿。
D_scene8,9,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情	把马克思有关共产主义的思想传播	他们这叫志同道合,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情	把马克思有关共产主义的思想传播,他们这叫志同道合,这词用的好。
D_scene8,10,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情	把马克思有关共产主义的思想传播	他们这叫志同道合	他们是情同兄弟,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情	把马克思有关共产主义的思想传播	他们这叫志同道合,他们是情同兄弟,对，他俩关系是情同兄弟，志同道合。
D_scene9,1,[robot_name]我明天就回来,,[robot_name]我明天就回来,知道了，我记着呢！
D_scene9,2,[robot_name]我明天就回来	我就怕你忘,[robot_name]我明天就回来,我就怕你忘,你回来我怎么会忘呢！
D_scene9,3,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我,[robot_name]我明天就回来	我就怕你忘,我就知道[robot_nick]最爱我,那是当然了。
D_scene9,4,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我,不过你不爱我爱谁,就你贫嘴厉害。
D_scene9,5,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁,我只对你这样,好了，想吃啥呢，我提前给你准备。
D_scene9,6,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样,我要吃红烧肉,还有呢？
D_scene9,7,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉,还有麻辣鱼,都这么胖了还吃肉。
D_scene9,8,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼	我这明明就是遗传你的基因,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼,我这明明就是遗传你的基因,我可没你爱吃，更没你胖。
D_scene9,9,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼	我这明明就是遗传你的基因	好[robot_nick]明天做好吃的等我,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼	我这明明就是遗传你的基因,好[robot_nick]明天做好吃的等我,知道了。
D_scene9,10,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼	我这明明就是遗传你的基因	好[robot_nick]明天做好吃的等我	嗯最爱你,[robot_name]我明天就回来	我就怕你忘	我就知道[robot_nick]最爱我	不过你不爱我爱谁	我只对你这样	我要吃红烧肉	还有麻辣鱼	我这明明就是遗传你的基因	好[robot_nick]明天做好吃的等我,嗯最爱你,我就爱听你这句话。
